Berikut adalah penyusunan ulang struktur menu sidebar yang telah dirapikan sepenuhnya. Seluruh ikon visual telah dihapus untuk tampilan yang lebih bersih, dan penempatan menu telah disesuaikan tepat berdasarkan unit kerja, fungsi jabatan, serta tugas tambahan.

---

### MATRIKS AKSES AKSES UTAMA PER ROLE

| Role / Kelompok Menu | Fungsi & Target Pengguna |
| --- | --- |
| **DASHBOARD** | Ringkasan informasi operasional sesuai hak akses pengguna. |
| **PIMPINAN** | Mudir, Wadir 1, Wadir 2 untuk pengawasan, SK, dan persetujuan tingkat atas. |
| **SATUAN PENDIDIKAN** | Kepsek, Waka Satdik, Guru (Umum, Agama, Hadits, Bahasa), Tim/Koordinator Kurikulum & Kesiswaan, Wali Kelas, Pembina Ekskul. |
| **ASRAMA** | Kepala & Wakil Kepala Asrama, Perizinan, Musrif/Musrifah, Wali Kamar, Wali Asrama, Staf Asrama. |
| **UKS** | Kepala UKS, Staf UKS Putra/Putri, Admin UKS Putra/Putri. |
| **DEPARTEMEN TAHFIDZ** | Kepala, Wakil Kepala, TU Dept. Tahfidz, Koordinator & Guru Tahfidz. |
| **DEPARTEMEN BAHASA** | Kepala, Wakil Kepala, TU Dept. Bahasa, Koordinator & Guru Bahasa Arab. |
| **HUMAS DAN PERSONALIA** | Kepala Humas & Personalia, Ka. Humas, Ka. Personalia, Staf Humas, Staf Personalia. |
| **TATA USAHA DAN TATA KELOLA** | Kepala TU, Staf Tata Usaha, Operator Sekolah. |
| **UNIT RUMAH TANGGA DAN SARPRAS** | Kepala URT, Koordinator Sarpras, TU URT, Staf URT/Kebersihan, Koordinator Sarpras Satdik. |
| **KEUANGAN** | Kepala Keuangan, Staf Keuangan, Bendahara, Bendahara Sekolah. |
| **PERPUSTAKAAN** | Koordinator Perpustakaan, Staf Perpustakaan. |
| **SATUAN KEAMANAN** | Kepala, Koordinator, Anggota Satuan Keamanan. |
| **TEKNOLOGI INFORMASI** | Kepala Unit IT, Staf IT, Teknisi Jaringan. |
| **UNIT PELAYANAN GIZI** | Kepala Unit Gizi & Logistik, Koordinator Logistik, Staf Gizi & Logistik. |
| **ALUMNI** | Pengelola Alumni, Humas, Kesiswaan. |
| **SUPER ADMIN DAN SYSTEM** | System Administrator, IT Manager. |
| **PROFIL DAN UTILITY** | Seluruh Pegawai / Pengguna Sistem. |

---

### STRUKTUR DETAIL SIDEBAR MENU DAN ROUTE

#### DASHBOARD

| Nama Menu | Target Akses | Route Name |
| Pencarian Santri | Seluruh Guru & Staf Satdik | `user.students.find-student` |
| Data Mahrom & Wali | Wali Kelas, Tim Kesiswaan | `user.students.mahroms.*` |
| Presensi Harian Siswa | Guru Mapel, Wali Kelas | `user.absensi.harian.*` |
| Poin & Pelanggaran Siswa | Waka Kesiswaan, Tim Kesiswaan, Wali Kelas | `user.violation-points.*` |
| Prestasi & Hafalan Siswa | Waka Kesiswaan, Guru Mapel | `user.student-achievement.*` |
| Ekstrakurikuler | Koordinator & Pembina Ekstrakurikuler | `waka.ekstrakurikuler.*` |
| Kenaikan Kelas (Promotions) | Kepsek, Waka Kesiswaan, Wali Kelas | `user.student-promotions.*` |

---

#### ASRAMA / BOARDING SYSTEM

##### 1. Pengaturan & Struktur Kamar

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Master Data Asrama | Kepala & Wakil Kepala Asrama | `user.dormitory-master.*` |
| Kebijakan Asrama | Kepala Asrama | `user.boarding-policies.*` |
| Peraturan & Tata Tertib | Kepala Asrama, Musrif/Musrifah | `user.boarding-regulations.*` |
| Kalender Kepulangan | Admin Asrama, Wali Asrama | `user.calendar.return.*` |
| Kalender Kunjungan | Admin Asrama, Wali Asrama | `user.calendar.visit.*` |
| Profil Asrama Saya | Staf Asrama, Wali Asrama | `user.asrama.my-profile` |
| Gedung & Wing Asrama | Tata Usaha Asrama | `user.asrama.wings.*` |
| Kamar Asrama | Tata Usaha Asrama, Wali Kamar | `user.asrama.rooms.*` |
| Penetapan Wali Kamar | Kepala Asrama, Wali Asrama | `user.asrama.room-supervisors.*` |
| Data Penghuni Kamar | Musrif/Musrifah, Wali Kamar | `user.asrama.residents.*` |
| Mutasi & Pindah Kamar | Wali Asrama, Musrif/Musrifah | `user.asrama.room-moves.*` |
| Inventaris Kamar & Asrama | Staf Asrama, Wali Kamar | `user.asrama.inventories.*` |

##### 2. Operasional, Perizinan & Kegiatan

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Absensi Kehadiran Asrama | Musrif/Musrifah, Wali Kamar | `user.asrama.attendance.*` |
| Perizinan Santri | Staf Perizinan, Wali Asrama | `user.asrama.permits.*` |
| Pengaturan Kebijakan Izin | Kepala Asrama, Perizinan | `user.asrama.leave-policies.*` |
| Master Jenis Izin | Admin Asrama | `user.asrama.permit-types.*` |
| Scan QR Perizinan | Staf Perizinan | `user.asrama.permits.scan` |
| Kepulangan Santri | Perizinan, Musrif/Musrifah | `user.asrama.dormitory-returns.*` |
| Log Kunjungan Wali | Perizinan, Staf Asrama | `user.asrama.visits.*` |
| Pelanggaran Asrama | Musrif/Musrifah, Wali Asrama | `user.asrama.violations.*` |
| Apresiasi & Penghargaan | Musrif/Musrifah, Wali Asrama | `user.asrama.rewards.*` |
| Pengumuman & Informasi | Admin Asrama, Staf Asrama | `user.asrama.posts.*` |
| Template Kegiatan Asrama | Staf Asrama | `user.asrama.templates.*` |
| Log Aktivitas Asrama | Wali Asrama, Musrif/Musrifah | `user.asrama.activities.*` |
| Siaran Darurat (Broadcast) | Kepala Asrama, Admin Asrama | `user.asrama.broadcasts.*` |
| Pusat Persetujuan Asrama | Kepala & Wakil Kepala Asrama | `user.asrama.approval-center` |
| Laporan Kegiatan Asrama | TU Asrama, Kepala Asrama | `user.asrama.reports.*` |

---

#### UKS (UNIT KESEHATAN SEKOLAH)

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Dashboard Layanan UKS | Kepala UKS, Staf UKS Putra/Putri, Admin UKS | `user.uks.dashboard` |
| Profil Kesehatan Santri | Staf UKS, Admin UKS | `user.uks.student-health.*` |
| Pemeriksaan Berkala (MCU) | Staf UKS Putra/Putri | `user.uks.health-checkups.*` |
| Antropometri (Tinggi/Berat) | Staf UKS Putra/Putri | `user.uks.health-metrics.*` |
| Imunisasi & Vaksin | Staf UKS Putra/Putri | `user.uks.immunizations.*` |
| Perizinan Sakit | Admin UKS, Staf UKS | `user.uks.health-permits.*` |
| Konseling Kesehatan | Kepala UKS, Staf UKS | `user.uks.counseling-records.*` |
| Manajemen Tempat Tidur | Admin UKS Putra/Putri | `user.uks.beds.*` |
| Data Pasien UKS | Staf UKS Putra/Putri | `user.uks.patients.*` |
| Status Perawatan | Staf UKS Putra/Putri | `user.uks.treatment-status.*` |
| Pemberian Obat & Medis | Staf UKS Putra/Putri | `user.uks.medication-administrations.*` |
| Stok & Inventori Obat | Admin UKS Putra/Putri | `user.uks.medicine-inventory.*` |
| Log Pemberian Obat | Staf UKS Putra/Putri | `user.uks.medicine-logs.*` |
| Faskes Rujukan Luar | Kepala UKS, Admin UKS | `user.uks.facility-referrals.*` |
| Inspeksi Sanitasi Lingkungan | Staf UKS, Kepala UKS | `user.uks.sanitation-inspections.*` |
| Penjadwalan Tugas UKS | Kepala UKS, Admin UKS | `user.uks.scheduling.*` |
| Data GTK Kesehatan | Admin UKS | `user.uks.gson-health.*` |
| Laporan Kesehatan UKS | Kepala UKS | `user.uks.reports.*` |

---

#### DEPARTEMEN TAHFIDZ

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Setoran & Capaian Hafalan | Ka./Waka/TU Dept. Tahfidz, Koord. & Guru Tahfidz | `waka.prestasi-akademik` |
| Bank Soal & Ujian Tahfidz | TU Dept. Tahfidz, Guru Tahfidz | `user.bank-soal.*` |

---

#### DEPARTEMEN BAHASA

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Pemetaan Pembelajaran Bahasa | Ka./Waka/TU Dept. Bahasa, Koord. Guru Bahasa | `user.master-data.mata-pelajaran.index` |
| Bank Soal & Ujian Bahasa | TU Dept. Bahasa, Guru Bahasa Arab | `user.bank-soal.*` |

---

#### HUMAS DAN PERSONALIA

##### 1. Pengelolaan Data GTK & Kepegawaian

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Data Induk GTK | Ka. Personalia, Staf Personalia | `user.gtk.index` |
| Data GTK Guru | Staf Personalia | `user.gtk.indexguru` |
| Data GTK Tendik | Staf Personalia | `user.gtk.indextendik` |
| Data GTK Berdasarkan Satker | Staf Personalia | `user.gtk.by-work-unit` |
| Import & Export Data GTK | Staf Personalia | `user.gtk.import` |
| Detail Profil GTK | Staf Personalia | `user.gtk.{uuid}.show` |
| Edit Profil GTK | Staf Personalia | `user.gtk.{uuid}.profile.show` |
| Data Keluarga Pegawai | Staf Personalia | `user.gtk.{uuid}.family-member.` |
| Riwayat Pendidikan Pegawai | Staf Personalia | `user.gtk.{uuid}.education.` |
| Data Kesehatan Pegawai | Staf Personalia | `user.gtk.{uuid}.health-data.` |

##### 2. Absensi, Kinerja & Karir Pegawai

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Rekap Absensi GTK | Ka. Personalia, Staf Personalia | `user.absensi-gtk.*` |
| Rekap Kehadiran Pegawai | Staf Personalia | `user.kehadiran.*` |
| Pengaturan Jam Kerja & Shift | Staf Personalia | `user.jam-kerja.*` |
| Kelola Cuti & Izin Pegawai | Ka. Personalia, Staf Personalia | `user.cuti.*` |
| Penilaian Kinerja Pegawai | Ka. Personalia, Mudir, Kepsek | `user.kinerja.*` |
| Rapor GTK | Ka. Personalia, Mudir | `user.rapor-gtk.*` |
| Analisis & Evaluasi GTK | Ka. Personalia, Mudir | `user.analisis-gtk.*` |
| Pelatihan & Pengembangan | Staf Personalia | `user.pelatihan.*` |
| Pengajuan GTK (Requests) | Staf Personalia | `user.gtk-requests.*` |
| Kontrak Kerja Pegawai | Ka. Personalia, Mudir | `user.kontrak.*` |
| Program Kesejahteraan GTK | Ka. Personalia | `user.kesejahteraan.*` |
| Peraturan & Kebijakan HRD | Kepala Humas & Personalia | `user.peraturan.*` |
| Perencanaan Jenjang Karir | Ka. Personalia | `user.jenjang-karir.career-path.index` |
| Mutasi & Rotasi Pegawai | Ka. Personalia, Mudir | `user.jenjang-karir.mutasi.index` |
| Promosi & Demosi Pegawai | Ka. Personalia, Mudir | `user.jenjang-karir.promosi.index` |
| Talent Pool Pegawai | Ka. Personalia | `user.jenjang-karir.talent.index` |
| Rencana Suksesi | Ka. Personalia, Mudir | `user.jenjang-karir.succession.index` |
| Data Pensiun Pegawai | Staf Personalia | `user.pension.index` |
| Pengaturan Pensiun | Ka. Personalia | `user.pension.settings` |

##### 3. Rekrutmen Pegawai (ATS)

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Module Rekrutmen GTK | Ka. Humas & Personalia, Staf Personalia | `user.recruitment.index` |
| ATS System Utama | Staf Personalia | `user.ats.index` |
| Lowongan Pekerjaan | Staf Personalia | `user.ats.jobs.*` |
| Pipeline Rekrutmen | Staf Personalia | `user.ats.pipeline.*` |
| Berkas Lamaran Masuk | Staf Personalia | `user.ats.applications.*` |
| Database Pelamar | Staf Personalia | `user.ats.candidates.*` |
| Jadwal Wawancara | Staf Personalia, Tim Pewawancara | `user.ats.interviews.*` |
| Penilaian Hasil Seleksi | Tim Pewawancara, Ka. Personalia | `user.ats.data-nilai.*` |
| Laporan Hasil Rekrutmen | Ka. Humas & Personalia | `user.ats.reports.*` |
| Pengaturan Aplikasi ATS | Staf Personalia | `user.ats.settings.*` |

---

#### TATA USAHA DAN TATA KELOLA

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Operator Dashboard | Kepala TU, Tata Usaha, Operator | `user.operator.dashboard` |
| Import Data Santri Baru | Kepala TU, Tata Usaha | `user.students.import-form` |
| Pengelolaan Tahun Ajaran | Kepala TU, Tata Usaha | `user.academic-years.*` |
| Pengelolaan Grade Level | Kepala TU, Tata Usaha | `user.grade-levels.*` |
| Pengelolaan Rombel | Kepala TU, Tata Usaha | `user.study-groups.*` |
| Plotting Mapel Rombel | Kepala TU, Tata Usaha | `user.study-groups.subjects.*` |
| Mutasi Masuk Siswa | Kepala TU, Tata Usaha | `user.mutations-in.*` |
| Mutasi Keluar Siswa | Kepala TU, Tata Usaha | `user.mutations-out.*` |
| Mutasi Kelulusan Siswa | Kepala TU, Tata Usaha | `user.mutations-lulus.*` |
| Mutasi Drop Out (DO) | Kepala TU, Tata Usaha | `user.mutations-do.*` |
| Bulk Kenaikan Kelas | Kepala TU, Tata Usaha | `user.bulk-promotion.*` |
| Bulk Kelulusan Siswa | Kepala TU, Tata Usaha | `user.bulk-graduation.*` |
| Perpindahan Kelas Siswa | Kepala TU, Tata Usaha | `user.student-move.*` |
| Pengelolaan Surat Masuk | Kepala TU, Tata Usaha | `waka.surat-masuk.*` |
| Pengelolaan Surat Keluar | Kepala TU, Tata Usaha | `waka.surat-keluar.*` |
| Pengelolaan SK Guru | Kepala TU, Tata Usaha | `waka.sk-guru` |

---

#### UNIT RUMAH TANGGA DAN SARPRAS

##### 1. Management Aset & Fasilitas

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Dashboard Utama Sarpras | Kepala URT, Koordinator Sarpras | `sarpras.dashboard` |
| Dashboard Satuan Kerja | Koordinator Sarpras Satdik, TU URT | `sarpras.user.dashboard` |
| Portal Divisi URT | TU URT, Staf URT | `sarpras.divisi.*` |
| Data Induk Aset & Inventaris | Koordinator Sarpras, TU URT | `sarpras.aset.*` |
| Import Data Inventaris | TU URT | `sarpras.aset.import` |
| Data Gedung & Bangunan | Koordinator Sarpras, TU URT | `sarpras.gedung.*` |
| Data Ruangan | TU URT | `sarpras.ruang.*` |
| Kategori Inventaris | TU URT | `sarpras.kategori.store` |
| Passport Aset | Koordinator Sarpras, TU URT | `sarpras.assets.passport*` |
| Audit QR Code Aset | Auditor Workspace, TU URT | `sarpras.qr.*` |
| Scan Barcode Aset | Staf URT, Staf Kebersihan | `sarpras.assets.scan` |

##### 2. Operasional, Perawatan & Pengadaan

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Peminjaman Aset / Fasilitas | TU URT, Staf URT | `sarpras.peminjaman.*` |
| Jadwal Pemeliharaan Routine | Koordinator Kebersihan, Staf URT | `sarpras.pemeliharaan.schedule.*` |
| Log Riwayat Perawatan | Staf URT, Staf Kebersihan | `sarpras.pemeliharaan.log.*` |
| Mutasi & Perpindahan Aset | TU URT | `sarpras.perpindahan.*` |
| Multi-Stage Movement Aset | TU URT | `sarpras.movements.*` |
| Analisis Repair vs Replace | Kepala URT, Koordinator Sarpras | `sarpras.rvr.*` |
| Predictive Maintenance | Kepala URT, Koordinator Sarpras | `sarpras.predictive.*` |
| Pengadaan Barang (Procurement) | Kepala URT, TU URT | `sarpras.pengadaan.*` |
| Purchase Order (PO) | TU URT | `sarpras.po.*` |
| Manajemen Data Vendor | TU URT | `sarpras.vendor.*` |
| Stok Sparepart & Suku Cadang | Staf URT, Staf Kebersihan | `sarpras.sparepart.*` |
| Workspace Teknisi | Staf Kebersihan, Staf URT | `sarpras.teknisi.*` |
| Workspace Auditor | Auditor Internal Sarpras | `sarpras.auditor.*` |
| Approval PIC Satker | Koordinator Sarpras Satdik | `sarpras.pic.*` |
| Approval Kepala Sarpras | Kepala URT | `sarpras.kepala.*` |
| Penghapusan Aset (Disposal) | Kepala URT, Koordinator Sarpras | `sarpras.disposal.*` |
| Laporan Sarpras & URT | Kepala URT, TU URT | `sarpras.laporan.*` |

---

#### KEUANGAN

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Manajemen Payroll & Penggajian | Kepala Keuangan, Staf Keuangan | `user.payroll.*` |
| Cetak Slip Gaji Pegawai | Bendahara, Bendahara Sekolah | `user.payroll-slip.*` |
| Laporan Keuangan Sekolah | Kepala Keuangan, Bendahara Sekolah | `user.laporan.keuangan` |

---

#### PERPUSTAKAAN

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Katalog & Inventaris Pustaka | Koordinator & Staf Perpustakaan | `sarpras.aset.*` |
| Sirkulasi & Peminjaman Buku | Staf Perpustakaan | `sarpras.peminjaman.*` |

---

#### SATUAN KEAMANAN

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Scan QR Perizinan Pos Security | Kepala, Koordinator, Anggota Keamanan | `user.asrama.permits.scan` |
| Control Perizinan Keluar-Masuk | Anggota Keamanan | `user.asrama.permits.*` |
| Log Kunjungan Tamu | Anggota Keamanan | `user.asrama.visits.*` |

---

#### TEKNOLOGI INFORMASI

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Feature Management System | Kepala Unit IT, Staf IT | `system.features` |
| Monitoring Network & Server | Staf IT, Teknisi Jaringan | `system.monitoring` |
| Perbaikan System & Maintenance | Staf IT, Teknisi Jaringan | `system.maintenance` |
| DevTools & Configurations | Kepala Unit IT, Staf IT | `system.config`, `system.devtools` |

---

#### UNIT PELAYANAN GIZI

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Inventaris Dapur & Logistik | Ka. Unit Gizi & Logistik, Koord./Staf Logistik | `sarpras.aset.*` |
| Pengadaan Bahan Makanan | Ka. Unit Gizi & Logistik, Koord. Logistik | `sarpras.pengadaan.*` |
| Vendor Supplier Bahan Makanan | Staf Logistik | `sarpras.vendor.*` |

---

#### ALUMNI

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Database Alumni | Staf Humas, Waka Kesiswaan, TU | `user.alumni.*` |
| Penelusuran & Statistik Alumni | Ka. Humas, Waka Kesiswaan | `user.alumni.statistics` |
| Export Data Alumni | Staf Humas, TU | `user.alumni.export` |

---

#### MASTER DATA SISTEM

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Master Jenis GTK | TU Pusat, Ka. Personalia, Kepala IT | `user.master-data.jenis-gtk.index` |
| Master Jabatan | TU Pusat, Ka. Personalia, Kepala IT | `user.master-data.jabatan.index` |
| Master Satuan Kerja | TU Pusat, Ka. Personalia, Kepala IT | `user.master-data.satuan-kerja.index` |
| Master Mata Pelajaran | TU Pusat, Tim Kurikulum, Kepala IT | `user.master-data.mata-pelajaran.index` |

---

#### SUPER ADMIN

##### 1. Security & Administrative Access (`/{userId}/sa`)

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Manajemen User System | Super Admin / System Administrator | `sa.users.*` |
| Manajemen Role | Super Admin / System Administrator | `sa.roles.*` |
| Hak Akses (Permissions) | Super Admin / System Administrator | `sa.permissions.*` |
| Struktur Divisi System | Super Admin / System Administrator | `sa.divisi.*` |
| Pengaturan Akses Sidebar | Super Admin / System Administrator | `sa.sidebar-access.*` |
| Audit Logs Activity | Super Admin / System Administrator | `sa.audit-logs.*` |
| Manajemen Session & Token | Super Admin / System Administrator | `sa.tokens.*` |
| Failed Jobs Queue | Super Admin / System Administrator | `sa.failed-jobs.*` |
| Pemberitahuan System | Super Admin / System Administrator | `sa.notifications.*` |
| Log Reset Password | Super Admin / System Administrator | `sa.password-reset-logs.index` |
| Global System Settings | Super Admin / System Administrator | `sa.system-setings.*` |
| Master Unit Sekolah | Super Admin / System Administrator | `sa.schools.*` |
| Master Unit Asrama | Super Admin / System Administrator | `sa.dormitories.*` |
| Unlock User & IP Unblock | Super Admin / System Administrator | `sa.users.unlock`, `sa.ip.unblock` |

##### 2. System Level Operations (`/system`)

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| System Dashboard | System Admin | `system.dashboard` |
| Modul Management | System Admin | `system.features` |
| Server Health Monitoring | System Admin | `system.monitoring` |
| Mode Maintenance System | System Admin | `system.maintenance` |
| System Global Config | System Admin | `system.config` |
| Developer Tools | System Admin | `system.devtools` |
| Monitoring Pelanggaran Global | System Admin | `system.violations.index` |
| Monitoring Perizinan Global | System Admin | `system.permits.index` |
| User Simulation (View As) | System Admin | `system.view-as.*` |

---

#### VENDOR PORTAL (`/vendor`)

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Dashboard Vendor | External Vendor | `vendor.dashboard` |
| Procurement Masuk | External Vendor | `vendor.procurement.*` |
| Pesanan Masuk (Orders) | External Vendor | `vendor.orders.*` |
| Tagihan & Invoice | External Vendor | `vendor.invoices.index` |
| Performa Vendor | External Vendor | `vendor.performance` |

---

#### PROFIL DAN UTILITY

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Profil Saya | Seluruh Pegawai | `user.profile.my` |
| Edit Data Profil | Seluruh Pegawai | `user.profile.my.edit` |
| Upload Foto Profil | Seluruh Pegawai | `user.profile.my.photo.*` |
| Download CV Pegawai | Seluruh Pegawai | `user.profile.cv` |
| Data Kesehatan Pegawai Saya | Seluruh Pegawai | `user.uks.gson-health.profile` |
| Daftar Tugas (Todo List) | Seluruh Pegawai | `user.todos.lists.*` |
| Item Tugas Todo | Seluruh Pegawai | `user.todos.*` |
| Portal Orang Tua Wali | Orang Tua / Wali Santri | `portal.*` |
| Halaman Akses Ditolak | Public / Error Page | `access-denied` |
